first_name,second_name,team,minutes,clean_sheets,bps,clean_sheets_per_90,expected_goals_conceded_per_90,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,date
Gabriel,dos Santos Magalhães,1,1895,12,496,0.57,0.61,0.09,0.05,0.14,24-02-2026
Matheus,Nunes,13,1994,8,487,0.36,1.04,0.01,0.07,0.08,24-02-2026
Marc,Guéhi,13,2250,9,473,0.36,1.3,0.11,0.08,0.19,24-02-2026
Jurriën,Timber,1,2235,12,471,0.48,0.59,0.17,0.06,0.23,24-02-2026
Trevoh,Chalobah,7,2280,9,464,0.36,1.3,0.04,0.03,0.07,24-02-2026
James,Tarkowski,9,2430,9,436,0.33,1.46,0.07,0.05,0.12,24-02-2026
Virgil,van Dijk,12,2430,9,432,0.33,1.17,0.07,0.03,0.1,24-02-2026
Reece,James,7,1622,8,428,0.44,1.38,0.05,0.13,0.18,24-02-2026
Ezri,Konsa Ngoyo,2,2315,8,425,0.31,1.41,0.04,0.02,0.06,24-02-2026
Maxence,Lacroix,8,2340,9,415,0.35,1.3,0.07,0.03,0.1,24-02-2026
Ibrahima,Konaté,12,2236,9,411,0.36,1.08,0.04,0.04,0.08,24-02-2026
Marc,Cucurella Saseta,7,1885,9,409,0.43,1.32,0.08,0.13,0.21,24-02-2026
Nico,O'Reilly,13,1971,10,408,0.46,1.17,0.13,0.08,0.21,24-02-2026
Rúben,dos Santos Gato Alves Dias,13,1869,11,407,0.53,1.05,0.03,0.02,0.05,24-02-2026
Nordi,Mukiele,17,2163,7,397,0.29,1.49,0.04,0.08,0.12,24-02-2026
William,Saliba,1,1894,10,386,0.48,0.62,0.03,0.03,0.06,24-02-2026
Jan Paul,van Hecke,6,2220,6,384,0.24,1.41,0.08,0.04,0.12,24-02-2026
Neco,Williams,16,2294,6,381,0.24,1.4,0.06,0.11,0.17,24-02-2026
Matty,Cash,2,2217,7,380,0.28,1.35,0.04,0.1,0.14,24-02-2026
Daniel,Muñoz Mejía,8,1676,9,375,0.48,1.2,0.1,0.18,0.28,24-02-2026
Tyrick,Mitchell,8,2398,10,375,0.38,1.33,0.04,0.06,0.1,24-02-2026
Marcos,Senesi Barón,4,2298,7,367,0.27,1.54,0.05,0.16,0.21,24-02-2026
Chris,Richards,8,2062,9,361,0.39,1.26,0.05,0.06,0.11,24-02-2026
Micky,van de Ven,18,2239,7,355,0.28,1.41,0.11,0.01,0.12,24-02-2026
Adrien,Truffert,4,2388,7,348,0.26,1.47,0.01,0.06,0.07,24-02-2026
Michael,Kayode,5,2268,6,345,0.24,1.41,0.01,0.09,0.1,24-02-2026
Ferdi,Kadıoğlu,6,2140,6,345,0.25,1.4,0.06,0.09,0.15,24-02-2026
Pedro,Porro Sauceda,18,1820,7,344,0.35,1.26,0.02,0.14,0.16,24-02-2026
Diogo,Dalot Teixeira,14,1930,6,335,0.28,1.22,0.06,0.1,0.16,24-02-2026
Malick,Thiaw,15,2027,4,332,0.18,1.36,0.12,0.03,0.15,24-02-2026
Lewis,Dunk,6,2295,5,330,0.2,1.39,0.05,0.02,0.07,24-02-2026
Malo,Gusto,7,1555,7,327,0.41,1.49,0.08,0.08,0.16,24-02-2026
Joachim,Andersen,10,2291,5,325,0.2,1.39,0.05,0.06,0.11,24-02-2026
Michael,Keane,9,1947,6,322,0.28,1.51,0.09,0.01,0.1,24-02-2026
Nathan,Collins,5,2071,5,317,0.22,1.37,0.07,0.05,0.12,24-02-2026
Daniel,Ballard,17,1761,5,312,0.26,1.38,0.11,0.03,0.14,24-02-2026
Riccardo,Calafiori,1,1347,10,308,0.67,0.52,0.19,0.03,0.22,24-02-2026
Luke,Shaw,14,2354,6,299,0.23,1.17,0.02,0.06,0.08,24-02-2026
Omar,Alderete,17,1993,7,297,0.32,1.47,0.06,0.04,0.1,24-02-2026
