first_name,second_name,team,minutes,bps,expected_goals_per_90,expected_goal_involvements_per_90,threat,date
Kai,Havertz,1,156,40,0.12,0.15,22,24-02-2026
Gabriel,Fernando de Jesus,1,304,68,0.52,0.58,207,24-02-2026
Viktor,Gyökeres,1,1726,346,0.43,0.52,581,24-02-2026
Ollie,Watkins,2,1989,347,0.44,0.49,735,24-02-2026
Zépiqueno,Redmond,2,0,0,0,0,0,24-02-2026
Tammy,Abraham,2,124,41,0.65,0.71,76,24-02-2026
Zian,Flemming,3,915,197,0.4,0.42,305,24-02-2026
Zeki,Amdouni,3,0,0,0,0,0,24-02-2026
Lyle,Foster,3,1019,170,0.2,0.22,163,24-02-2026
Ashley,Barnes,3,15,3,0.66,0.66,7,24-02-2026
Michael,Obafemi,3,0,0,0,0,0,24-02-2026
Armando,Broja,3,805,105,0.24,0.25,203,24-02-2026
Francisco Evanilson,de Lima Barbosa,4,1895,278,0.35,0.39,612,24-02-2026
Enes,Ünal,4,151,49,0.63,0.66,61,24-02-2026
Daniel,Adu-Adjei,4,0,0,0,0,0,24-02-2026
Junior,Kroupi,4,956,318,0.41,0.47,326,24-02-2026
Igor Thiago,Nascimento Rodrigues,5,2292,537,0.59,0.65,876,24-02-2026
Iwan,Morgan,5,0,0,0,0,0,24-02-2026
Kaye,Furo,5,0,0,0,0,0,24-02-2026
Danny,Welbeck,6,1534,313,0.51,0.56,451,24-02-2026
Evan,Ferguson,6,0,0,0,0,0,24-02-2026
Stefanos,Tzimas,6,132,55,0.3,0.38,44,24-02-2026
Charalampos,Kostoulas,6,292,117,0.52,0.59,192,24-02-2026
João Pedro,Junqueira de Jesus,7,1966,559,0.46,0.54,668,24-02-2026
Liam,Delap,7,718,106,0.46,0.48,287,24-02-2026
Nicolas,Jackson,7,0,0,0,0,0,24-02-2026
Marc,Guiu Paz,7,247,19,0.53,0.64,81,24-02-2026
Jean-Philippe,Mateta,8,1904,281,0.56,0.62,664,24-02-2026
Eddie,Nketiah,8,414,100,0.38,0.48,173,24-02-2026
Odsonne,Édouard,8,2,6,0,0,0,24-02-2026
Zach,Marsh,8,0,0,0,0,0,24-02-2026
Jørgen,Strand Larsen,8,1669,152,0.2,0.23,353,24-02-2026
Christantus,Uche,8,150,38,0.23,0.24,68,24-02-2026
Ben,Casey,8,0,0,0,0,0,24-02-2026
Thierno,Barry,9,1576,192,0.3,0.32,375,24-02-2026
Norberto Bercique,Gomes Betuncal,9,892,118,0.52,0.54,349,24-02-2026
Youssef,Ramalho Chermiti,9,0,0,0,0,0,24-02-2026
Martin,Sherif,9,0,0,0,0,0,24-02-2026
Braiden,Graham,9,0,0,0,0,0,24-02-2026
Raúl,Jiménez Rodríguez,10,1772,344,0.49,0.53,644,24-02-2026
Rodrigo,Muniz Carvalho,10,418,53,0.24,0.24,136,24-02-2026
Jonah,Kusi-Asare,10,30,11,0,0.21,8,24-02-2026
Joël,Piroe,11,206,27,0.28,0.31,90,24-02-2026
Patrick,Bamford,11,0,0,0,0,0,24-02-2026
Mateo,Joseph Fernández-Regatillo,11,0,0,0,0,0,24-02-2026
Lukas,Nmecha,11,700,213,0.8,0.9,321,24-02-2026
Dominic,Calvert-Lewin,11,1753,341,0.48,0.53,687,24-02-2026
Harry,Gray,11,0,0,0,0,0,24-02-2026
Darwin,Núñez Ribeiro,12,0,0,0,0,0,24-02-2026
Jayden,Danns,12,0,0,0,0,0,24-02-2026
Alexander,Isak,12,501,96,0.37,0.38,143,24-02-2026
Hugo,Ekitiké,12,1599,369,0.53,0.64,675,24-02-2026
Erling,Haaland,13,2233,779,0.83,0.9,1160,24-02-2026
Rasmus,Højlund,14,0,0,0,0,0,24-02-2026
Joshua,Zirkzee,14,492,117,0.34,0.39,172,24-02-2026
Chido,Obi,14,0,0,0,0,0,24-02-2026
Ethan,Wheatley,14,0,0,0,0,0,24-02-2026
Benjamin,Sesko,14,1131,262,0.5,0.52,586,24-02-2026
Yoane,Wissa,15,406,56,0.42,0.54,133,24-02-2026
William,Osula,15,258,70,0.22,0.23,70,24-02-2026
Sean,Neave,15,0,0,0,0,0,24-02-2026
Nick,Woltemade,15,1475,299,0.38,0.43,381,24-02-2026
Chris,Wood,16,538,85,0.47,0.49,179,24-02-2026
Igor Jesus,Maciel da Cruz,16,1502,187,0.25,0.3,461,24-02-2026
Taiwo,Awoniyi,16,204,59,0.38,0.55,101,24-02-2026
Arnaud,Kalimuendo,16,89,24,0.44,0.46,39,24-02-2026
Lorenzo,Lucca,16,119,34,0.54,0.55,31,24-02-2026
Wilson,Isidor,17,1021,180,0.32,0.33,379,24-02-2026
Eliezer,Mayenda Dossou,17,592,87,0.17,0.2,146,24-02-2026
Ahmed,Abdullahi,17,0,0,0,0,0,24-02-2026
Luís Hemir,Silva Semedo,17,0,0,0,0,0,24-02-2026
Nazarii,Rusyn,17,0,0,0,0,0,24-02-2026
Brian,Brobbey,17,1193,224,0.2,0.23,264,24-02-2026
Dominic,Solanke-Mitchell,18,435,94,0.25,0.29,145,24-02-2026
Richarlison,de Andrade,18,1298,343,0.36,0.44,514,24-02-2026
Will,Lankshear,18,0,0,0,0,0,24-02-2026
Dane,Scarlett,18,7,5,0,0.13,2,24-02-2026
Randal,Kolo Muani,18,1086,105,0.13,0.22,182,24-02-2026
James,Wilson,18,0,0,0,0,0,24-02-2026
Jarrod,Bowen,19,2419,478,0.22,0.34,661,24-02-2026
Niclas,Füllkrug,19,407,28,0.21,0.26,130,24-02-2026
Callum,Marshall,19,58,0,0.2,0.2,7,24-02-2026
Callum,Wilson,19,933,228,0.57,0.6,385,24-02-2026
Pablo Felipe,Pereira de Jesus,19,250,21,0.12,0.15,21,24-02-2026
Valentín,Castellanos,19,565,60,0.33,0.4,195,24-02-2026
Fábio,Soares Silva,20,0,0,0,0,0,24-02-2026
Saša,Kalajdžić,20,14,1,0,0.06,2,24-02-2026
Leon,Chiwome,20,0,0,0,0,0,24-02-2026
Nathan,Fraser,20,0,0,0,0,0,24-02-2026
Tolu,Arokodare,20,1176,150,0.31,0.33,430,24-02-2026
Mateus,Mané,20,1076,198,0.1,0.23,189,24-02-2026
Adam,Armstrong,20,332,35,0.05,0.2,9,24-02-2026
