first_name,second_name,team,minutes,clean_sheets,bps,expected_goals_conceded_per_90,saves_per_90,saves,clean_sheets_per_90,date
David,Raya Martín,1,2520,13,450,0.69,1.46,41,0.46,24-02-2026
Kepa,Arrizabalaga Revuelta,1,0,0,0,0,0,0,0,24-02-2026
Karl,Hein,1,0,0,0,0,0,0,0,24-02-2026
Tommy,Setford,1,0,0,0,0,0,0,0,24-02-2026
Emiliano,Martínez Romero,2,2025,6,403,1.3,3.02,68,0.27,24-02-2026
Marco,Bizot,2,405,1,51,1.9,2.89,13,0.22,24-02-2026
Joe,Gauci,2,0,0,0,0,0,0,0,24-02-2026
Filip,Marschall,2,0,0,0,0,0,0,0,24-02-2026
James,Wright,2,0,0,0,0,0,0,0,24-02-2026
Sam,Proctor,2,0,0,0,0,0,0,0,24-02-2026
Ronnie,Hollingshead,2,0,0,0,0,0,0,0,24-02-2026
Max,Weiß,3,0,0,0,0,0,0,0,24-02-2026
Etienne,Green,3,0,0,0,0,0,0,0,24-02-2026
Václav,Hladký,3,0,0,0,0,0,0,0,24-02-2026
Martin,Dúbravka,3,2430,3,350,1.99,3.74,101,0.11,24-02-2026
Norberto,Murara Neto,4,0,0,0,0,0,0,0,24-02-2026
Đorđe,Petrović,4,2430,7,342,1.53,3.07,83,0.26,24-02-2026
Will,Dennis,4,0,0,0,0,0,0,0,24-02-2026
Callan,McKenna,4,0,0,0,0,0,0,0,24-02-2026
Alex,Paulsen,4,0,0,0,0,0,0,0,24-02-2026
Fraser,Forster,4,0,0,0,0,0,0,0,24-02-2026
Christos,Mandas,4,0,0,0,0,0,0,0,24-02-2026
Caoimhín,Kelleher,5,2430,6,377,1.39,2.7,73,0.22,24-02-2026
Ellery,Balcombe,5,0,0,0,0,0,0,0,24-02-2026
Matthew,Cox,5,0,0,0,0,0,0,0,24-02-2026
Julian,Eyestone,5,0,0,0,0,0,0,0,24-02-2026
Hákon Rafn,Valdimarsson,5,0,0,0,0,0,0,0,24-02-2026
Jason,Steele,6,0,0,0,0,0,0,0,24-02-2026
Bart,Verbruggen,6,2430,6,437,1.4,2.81,76,0.22,24-02-2026
Tom,McGill,6,0,0,0,0,0,0,0,24-02-2026
Carl,Rushworth,6,0,0,0,0,0,0,0,24-02-2026
Kjell,Scherpen,6,0,0,0,0,0,0,0,24-02-2026
Robert,Lynch Sánchez,7,2254,9,425,1.38,2.72,68,0.36,24-02-2026
Filip,Jörgensen,7,174,0,18,1.44,1.55,3,0,24-02-2026
Mike,Penders,7,0,0,0,0,0,0,0,24-02-2026
Gabriel,Słonina,7,0,0,0,0,0,0,0,24-02-2026
Max,Merrick,7,0,0,0,0,0,0,0,24-02-2026
Teddy,Sharman-Lowe,7,0,0,0,0,0,0,0,24-02-2026
Dean,Henderson,8,2430,10,445,1.31,2.74,74,0.37,24-02-2026
Walter,Benítez,8,0,0,0,0,0,0,0,24-02-2026
Remi,Matthews,8,0,0,0,0,0,0,0,24-02-2026
Jordan,Pickford,9,2430,9,427,1.46,2.67,72,0.33,24-02-2026
Mark,Travers,9,0,0,0,0,0,0,0,24-02-2026
Harry,Tyrer,9,0,0,0,0,0,0,0,24-02-2026
Tom,King,9,0,0,0,0,0,0,0,24-02-2026
Bernd,Leno,10,2430,5,344,1.44,2.52,68,0.19,24-02-2026
Steven,Benda,10,0,0,0,0,0,0,0,24-02-2026
Benjamin,Lecomte,10,0,0,0,0,0,0,0,24-02-2026
Alfie,McNally,10,0,0,0,0,0,0,0,24-02-2026
Illan,Meslier,11,0,0,0,0,0,0,0,24-02-2026
Alex,Cairns,11,0,0,0,0,0,0,0,24-02-2026
Karl,Darlow,11,990,1,129,1.23,2.73,30,0.09,24-02-2026
Lucas Estella,Perri,11,1440,3,153,1.67,2.38,38,0.19,24-02-2026
Alisson,Becker,12,1980,8,342,1.12,2.09,46,0.36,24-02-2026
Giorgi,Mamardashvili,12,450,1,70,1.42,3.4,17,0.2,24-02-2026
Ármin,Pécsi,12,0,0,0,0,0,0,0,24-02-2026
Freddie,Woodman,12,0,0,0,0,0,0,0,24-02-2026
James,Trafford,13,270,1,62,1.32,3.67,11,0.33,24-02-2026
Ederson,Santana de Moraes,13,0,0,0,0,0,0,0,24-02-2026
Marcus,Bettinelli,13,0,0,0,0,0,0,0,24-02-2026
Gianluigi,Donnarumma,13,2160,10,416,1.1,2.5,60,0.42,24-02-2026
Altay,Bayındır,14,540,0,49,1.54,2.17,13,0,24-02-2026
André,Onana,14,0,0,0,0,0,0,0,24-02-2026
Elyh,Harrison,14,0,0,0,0,0,0,0,24-02-2026
Tom,Heaton,14,0,0,0,0,0,0,0,24-02-2026
Dermot,Mee,14,0,0,0,0,0,0,0,24-02-2026
Senne,Lammens,14,1890,5,260,1.11,2.29,48,0.24,24-02-2026
Nick,Pope,15,1876,7,338,1.19,3.12,65,0.34,24-02-2026
Mark,Gillespie,15,0,0,0,0,0,0,0,24-02-2026
Odysseas,Vlachodimos,15,0,0,0,0,0,0,0,24-02-2026
Aaron,Ramsdale,15,553,0,45,1.3,1.63,10,0,24-02-2026
John,Ruddy,15,0,0,0,0,0,0,0,24-02-2026
Stefan,Ortega Moreno,16,270,1,38,1.55,2.67,8,0.33,24-02-2026
Matz,Sels,16,1677,4,241,1.52,2.95,55,0.21,24-02-2026
Carlos Miguel,dos Santos Pereira,16,0,0,0,0,0,0,0,24-02-2026
Matt,Turner,16,0,0,0,0,0,0,0,24-02-2026
Angus,Gunn,16,45,0,4,0.42,0,0,0,24-02-2026
John Victor,Maciel Furtado,16,437,1,32,1.26,1.24,6,0.21,24-02-2026
Anthony,Patterson,17,0,0,0,0,0,0,0,24-02-2026
Simon,Moore,17,0,0,0,0,0,0,0,24-02-2026
Blondy,Nna Noukeu,17,0,0,0,0,0,0,0,24-02-2026
Robin,Roefs,17,2430,8,465,1.46,3,81,0.3,24-02-2026
Melker,Ellborg,17,0,0,0,0,0,0,0,24-02-2026
Guglielmo,Vicario,18,2430,7,387,1.45,2.7,73,0.26,24-02-2026
