first_name,second_name,team,minutes,bps,expected_assists_per_90,expected_goals_per_90,expected_goal_involvements_per_90,threat,date
Bukayo,Saka,1,1725,451,0.28,0.35,0.63,698.0,24-02-2026
Martin,Ødegaard,1,1070,252,0.24,0.08,0.32,144.0,24-02-2026
Noni,Madueke,1,829,174,0.21,0.1,0.31,284.0,24-02-2026
Gabriel,Martinelli Silva,1,717,141,0.11,0.43,0.54,316.0,24-02-2026
Leandro,Trossard,1,1590,348,0.15,0.27,0.42,419.0,24-02-2026
Declan,Rice,1,2325,634,0.23,0.11,0.34,265.0,24-02-2026
Mikel,Merino Zazón,1,996,238,0.13,0.27,0.4,237.0,24-02-2026
Fábio,Ferreira Vieira,1,0,0,0.0,0.0,0.0,0.0,24-02-2026
Christian,Nørgaard,1,32,14,0.0,0.14,0.14,7.0,24-02-2026
Ethan,Nwaneri,1,165,20,0.04,0.13,0.17,24.0,24-02-2026
Martín,Zubimendi Ibáñez,1,2355,499,0.07,0.1,0.17,238.0,24-02-2026
Ismeal,Kabia,1,0,0,0.0,0.0,0.0,0.0,24-02-2026
Albert,Sambi Lokonga,1,0,0,0.0,0.0,0.0,0.0,24-02-2026
Eberechi,Eze,1,1224,324,0.15,0.26,0.41,349.0,24-02-2026
Max,Dowman,1,27,13,0.07,0.47,0.54,26.0,24-02-2026
Andre,Harriman-Annous,1,0,0,0.0,0.0,0.0,0.0,24-02-2026
Morgan,Rogers,2,2407,444,0.12,0.18,0.3,658.0,24-02-2026
Youri,Tielemans,2,1295,289,0.18,0.07,0.25,147.0,24-02-2026
Leon,Bailey,2,190,21,0.29,0.1,0.39,34.0,24-02-2026
Emiliano,Buendía Stati,2,1224,259,0.11,0.2,0.31,300.0,24-02-2026
Samuel,Iling-Junior,2,0,0,0.0,0.0,0.0,0.0,24-02-2026
Donyell,Malen,2,640,161,0.05,0.57,0.62,290.0,24-02-2026
John,McGinn,2,1591,289,0.11,0.14,0.25,193.0,24-02-2026
Ross,Barkley,2,186,75,0.14,0.28,0.42,61.0,24-02-2026
Enzo,Barrenechea,2,0,0,0.0,0.0,0.0,0.0,24-02-2026
Lewis,Dobbin,2,0,0,0.0,0.0,0.0,0.0,24-02-2026
Boubacar,Kamara,2,1410,282,0.05,0.03,0.08,75.0,24-02-2026
Amadou,Onana,2,1198,267,0.02,0.06,0.08,108.0,24-02-2026
Ben,Broggio,2,0,0,0.0,0.0,0.0,0.0,24-02-2026
